SF500	AQR Capital Management
20184251	Other quantitative funds run by firms, including AQR Capital Management LLC and Highbridge Capital Management LLC, may also have sustained heavy losses.
20191692	Other quantitative funds run by firms, including AQR Capital Management LLC and Highbridge Capital Management LLC, may also have sustained heavy losses.
22148446	"What they're doing is active management," said Clifford S. Asness, managing principal at AQR Capital Management in Greenwich, Conn.
22410155	The authors have also been presenting it at academic seminars, as well as to the hedge fund arm of Goldman Sachs and to AQR Capital Management, another hedge fund.
23079102	AQR Capital Management, a $38 billion hedge fund, has suspended its plans for an offering.
23085860	AQR Capital Management, a $38 billion hedge fund, has suspended its plans for an offering.
23349820	As Clifford S. Asness, managing principal at AQR Capital Management, a hedge fund firm, put it in an e-mail message, "It is a strange leap to observe that investors consistently make an error, and then recommend that error to current investors based on precedent."
23875014	The study began circulating this summer and was produced by AQR Capital Management, the investment management firm in Greenwich, Conn.
24664967	Clifford S. Asness, managing principal at AQR Capital Management in Greenwich, Conn., says that such a focus makes sense, because 12-month earnings are quite volatile.
24813804	That firm, quantitative hedge fund operator AQR Capital Management, remains a big focus of investors today.
26041318	One of the world's biggest hedge funds, AQR Capital Management, which is based in Greenwich, Conn., and has about $35 billion under management, may also consider an initial public offering, analysts have said.
26440420	It is now at 20.0 when calculated on the basis of trailing 12-month earnings, according to Clifford S. Asness, managing principal at AQR Capital Management, a hedge fund firm in Greenwich, Conn.; that is higher than 73 percentof the readings dating back to 1965.
26544071	"We have to atone to our clients, but we have no right to whine for ourselves," said Clifford Asness, the co-founder of AQR Capital Management, a money management firm that has been much in the news recently.
26761929	Clifford S. Asness, who has a Ph.D. in finance from the University of Chicago, is the founder of AQR Capital Management, a quantitative hedge fund that, according to investors, has had a 13 percent loss so far this month.
27054212	Among AMG's portfolio companies, quantitative hedge fund manager AQR Capital Management was the hottest of all, and investors began to speculate about it's going public.
